# ================================================================================================
# COMPREHENSIVE SOFTWARE DETECTION RULES - Enterprise Grade
# Pattern	Type	Software	Confidence	CPE_Vendor	CPE_Product
# ================================================================================================
# WEB SERVERS - Headers & Body
^Apache/([\d.]+)	header	Apache	HIGH	apache	http_server
Apache/([\d.]+)	body	Apache	MEDIUM	apache	http_server
^nginx/([\d.]+)	header	nginx	HIGH	f5	nginx
nginx/([\d.]+)	body	nginx	MEDIUM	f5	nginx
^Microsoft-IIS/([\d.]+)	header	IIS	HIGH	microsoft	iis
IIS/([\d.]+)	body	IIS	MEDIUM	microsoft	iis
^lighttpd/([\d.]+)	header	lighttpd	HIGH	lighttpd	lighttpd
lighttpd/([\d.]+)	body	lighttpd	MEDIUM	lighttpd	lighttpd
^LiteSpeed/([\d.]+)	header	LiteSpeed	HIGH	litespeedtech	litespeed_web_server
LiteSpeed/([\d.]+)	body	LiteSpeed	MEDIUM	litespeedtech	litespeed_web_server
gunicorn/([\d.]+)	header	Gunicorn	HIGH	gunicorn	gunicorn
Gunicorn/([\d.]+)	body	Gunicorn	MEDIUM	gunicorn	gunicorn
^Werkzeug/([\d.]+)	header	Werkzeug	HIGH	palletsprojects	werkzeug
Werkzeug/([\d.]+)	body	Werkzeug	MEDIUM	palletsprojects	werkzeug
^Jetty\((\d+\.\d+[\.\d]*)	header	Jetty	HIGH	eclipse	jetty
Jetty/([\d.]+)	body	Jetty	MEDIUM	eclipse	jetty
^Apache-Coyote/([\d.]+)	header	Tomcat	HIGH	apache	tomcat
Apache-Coyote/([\d.]+)	body	Tomcat	MEDIUM	apache	tomcat
Tomcat/([\d.]+)	header	Tomcat	HIGH	apache	tomcat
Tomcat/([\d.]+)	body	Tomcat	MEDIUM	apache	tomcat
# PROGRAMMING LANGUAGES
^PHP/([\d.]+)	header	PHP	HIGH	php	php
PHP/([\d.]+)	header	PHP	HIGH	php	php
PHP/([\d.]+)	body	PHP	MEDIUM	php	php
^Python/([\d.]+)	header	Python	HIGH	python	python
Python/([\d.]+)	body	Python	MEDIUM	python	python
X-Powered-By.*ASP\.NET	header	ASP.NET	HIGH	microsoft	asp.net
ASP\.NET/([\d.]+)	body	ASP.NET	MEDIUM	microsoft	asp.net
X-AspNet-Version:\s*([\d.]+)	header	ASP.NET	HIGH	microsoft	asp.net
# NODE.JS & EXPRESS
^Express/([\d.]+)	header	Express	HIGH	expressjs	express
Express/([\d.]+)	body	Express	MEDIUM	expressjs	express
Node\.js/([\d.]+)	header	Node.js	HIGH	nodejs	node.js
Node\.js/([\d.]+)	body	Node.js	MEDIUM	nodejs	node.js
node/([\d.]+)	body	Node.js	MEDIUM	nodejs	node.js
# SSL/TLS
^OpenSSL/([\d.]+[a-z]?)	header	OpenSSL	HIGH	openssl	openssl
OpenSSL/([\d.]+)	body	OpenSSL	MEDIUM	openssl	openssl
^mod_ssl/([\d.]+)	header	mod_ssl	HIGH	modssl	mod_ssl
mod_ssl/([\d.]+)	body	mod_ssl	MEDIUM	modssl	mod_ssl
# CMS - META TAGS & PATTERNS
<meta\s+name=["\']generator["\']\s+content=["\']WordPress\s+([\d.]+)	body	WordPress	HIGH	wordpress	wordpress
WordPress/([\d.]+)	header	WordPress	HIGH	wordpress	wordpress
WordPress/([\d.]+)	body	WordPress	HIGH	wordpress	wordpress
/wp-content/	body	WordPress	LOW	wordpress	wordpress
/wp-includes/	body	WordPress	LOW	wordpress	wordpress
wp-json/wp/v2	body	WordPress	MEDIUM	wordpress	wordpress
<meta\s+name=["\']generator["\']\s+content=["\']Joomla!\s+([\d.]+)	body	Joomla	HIGH	joomla	joomla
Joomla/([\d.]+)	header	Joomla	HIGH	joomla	joomla
Joomla/([\d.]+)	body	Joomla	HIGH	joomla	joomla
/media/jui/	body	Joomla	MEDIUM	joomla	joomla
<meta\s+name=["\']generator["\']\s+content=["\']Drupal\s+([\d.]+)	body	Drupal	HIGH	drupal	drupal
Drupal/([\d.]+)	header	Drupal	HIGH	drupal	drupal
Drupal/([\d.]+)	body	Drupal	HIGH	drupal	drupal
Drupal\.settings	body	Drupal	MEDIUM	drupal	drupal
<meta\s+name=["\']generator["\']\s+content=["\']Magento.*?([\d.]+)	body	Magento	HIGH	magento	magento
Magento/([\d.]+)	header	Magento	HIGH	magento	magento
Magento/([\d.]+)	body	Magento	HIGH	magento	magento
X-Magento-Cache	header	Magento	MEDIUM	magento	magento
